From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),WS (m/s),WD (degree),AT (degree C)
2017-09-02,,,,,,,,,,,,,
2017-09-03,,,,,,,,,,,,,
2017-09-04,,,,,,,,,,,,,
2017-09-05,,,,,,,,,,,,,
2017-09-06,,,,,,,,,,,,,
2017-09-07,,,,,,,,,,,,,
2017-09-08,,,,,,,,,,,,,
2017-09-09,,,,,,,,,,,,,
2017-09-10,,,,,,,,,,,,,
2017-09-11,,,,,,,,,,,,,
2017-09-12,,,,,,,,,,,,,
2017-09-13,,,,,,,,,,,,,
2017-09-14,,,,,,,,,,,,,
2017-09-15,,,,,,,,,,,,,
2017-09-16,,,,,,,,,,,,,
2017-09-17,,,,,,,,,,,,,
2017-09-18,,,,,,,,,,,,,
2017-09-19,,,,,,,,,,,,,
2017-09-20,,,,,,,,,,,,,
2017-09-21,,,,,,,,,,,,,
2017-09-22,,,,,,,,,,,,,
2017-09-23,,,,,,,,,,,,,
2017-09-24,,,,,,,,,,,,,
2017-09-25,,,,,,,,,,,,,
2017-09-26,,,,,,,,,,,,,
2017-09-27,,,,,,,,,,,,,
2017-09-28,,,,,,,,,,,,,
2017-09-29,,,,,,,,,,,,,
2017-09-30,,,,,,,,,,,,,
2017-10-01,,,,,,,,,,,,,
2017-10-02,,,,,,,,,,,,,
2017-10-03,,,,,,,,,,,,,
2017-10-04,,,,,,,,,,,,,
2017-10-05,,,,,,,,,,,,,
2017-10-06,,,,,,,,,,,,,
2017-10-07,,,,,,,,,,,,,
2017-10-08,,,,,,,,,,,,,
2017-10-09,,,,,,,,,,,,,
2017-10-10,,,,,,,,,,,,,
2017-10-11,,,,,,,,,,,,,
2017-10-12,,,,,,,,,,,,,
2017-10-13,,,,,,,,,,,,,
2017-10-14,,,,,,,,,,,,,
2017-10-15,,,,,,,,,,,,,
2017-10-16,,,,,,,,,,,,,
2017-10-17,,,,,,,,,,,,,
2017-10-18,,,,,,,,,,,,,
2017-10-19,,,,,,,,,,,,,
2017-10-20,,,,,,,,,,,,,
2017-10-21,,,,,,,,,,,,,
2017-10-22,,,,,,,,,,,,,
2017-10-23,,,,,,,,,,,,,
2017-10-24,,,,,,,,,,,,,
2017-10-25,,,,,,,,,,,,,
2017-10-26,,,,,,,,,,,,,
2017-10-27,,,,,,,,,,,,,
2017-10-28,,,,,,,,,,,,,
2017-10-29,,,,,,,,,,,,,
2017-10-30,,,,,,,,,,,,,
2017-10-31,,,,,,,,,,,,,
2017-11-01,,,,,,,,,,,,,
2017-11-02,,,,,,,,,,,,,
2017-11-03,,,,,,,,,,,,,
2017-11-04,,,,,,,,,,,,,
2017-11-05,,,,,,,,,,,,,
2017-11-06,,,,,,,,,,,,,
2017-11-07,,,,,,,,,,,,,
2017-11-08,,,,,,,,,,,,,
2017-11-09,,,,,,,,,,,,,
2017-11-10,,,,,,,,,,,,,
2017-11-11,,,,,,,,,,,,,
2017-11-12,,,,,,,,,,,,,
2017-11-13,,,,,,,,,,,,,
2017-11-14,,,,,,,,,,,,,
2017-11-15,,,,,,,,,,,,,
2017-11-16,,,,,,,,,,,,,
2017-11-17,,,,,,,,,,,,,
2017-11-18,,,,,,,,,,,,,
2017-11-19,,,,,,,,,,,,,
2017-11-20,,,,,,,,,,,,,
2017-11-21,,,,,,,,,,,,,
2017-11-22,,,,,,,,,,,,,
2017-11-23,,,,,,,,,,,,,
2017-11-24,,,,,,,,,,,,,
2017-11-25,,,,,,,,,,,,,
2017-11-26,,,,,,,,,,,,,
2017-11-27,,,,,,,,,,,,,
2017-11-28,,,,,,,,,,,,,
2017-11-29,,,,,,,,,,,,,
2017-11-30,,,,,,,,,,,,,
2017-12-01,,,,,,,,,,,,,
2017-12-02,,,,,,,,,,,,,
2017-12-03,,,,,,,,,,,,,
2017-12-04,,,,,,,,,,,,,
2017-12-05,,,,,,,,,,,,,
2017-12-06,,,,,,,,,,,,,
2017-12-07,165.285,285.0775,,37.8375,,7.7075,5.7625,3.2350000000000003,4.4399999999999995,0.0,,,
2017-12-08,126.51166666666667,193.29208333333335,,20.224166666666665,,7.96625,5.416250000000001,2.93875,10.570833333333333,0.0,,,
2017-12-09,103.00833333333333,151.26208333333332,,18.052083333333332,,8.17125,5.082916666666667,2.8258333333333336,10.295,0.0,,,
2017-12-10,63.05461538461539,96.57692307692308,,14.799230769230771,,7.895384615384615,4.742307692307692,2.7146153846153847,8.737692307692308,0.0,,,
2017-12-11,,,,,,,,,,,,,
2017-12-12,144.82285714285715,221.62357142857144,,22.427142857142858,,8.505,8.354285714285714,2.7414285714285715,28.21,0.0,,,
2017-12-13,154.55041666666668,228.78833333333333,,18.470833333333335,,8.941666666666666,7.879166666666666,2.779166666666667,16.355,0.0,,,
2017-12-14,129.42125000000001,199.8708333333333,,17.820416666666667,,9.138333333333334,6.512083333333333,2.7608333333333337,7.126666666666666,0.0,,,
2017-12-15,113.90166666666666,175.46416666666667,,16.827083333333334,,8.850833333333332,6.01875,2.689583333333333,7.02375,0.0,,,
2017-12-16,100.45708333333333,162.53625,,16.180833333333336,,8.488333333333333,5.715,2.5679166666666666,6.930833333333333,0.0,,,
2017-12-17,75.75041666666667,128.32500000000002,,17.38625,,7.9975,5.4975,2.45125,7.6025,0.0,,,
2017-12-18,72.77708333333334,123.59416666666668,,20.447916666666668,,7.14375,5.92875,2.5120833333333334,7.138750000000001,0.0,,,
2017-12-19,69.03,117.19416666666666,0.033999999999999996,11.1115,0.058750000000000004,6.985833333333333,4.0245,2.794,6.554166666666667,0.0,,,
2017-12-20,,,0.02,0.02625,0.04095238095238095,,0.8395238095238095,3.02952380952381,0.046,,,,
2017-12-21,,,0.019,0.025789473684210525,0.03681818181818182,,0.6354545454545455,3.069545454545455,0.0175,,,,
2017-12-22,,,0.021111111111111112,0.01909090909090909,0.035833333333333335,,0.6241666666666666,3.1683333333333334,0.030000000000000002,,,,
2017-12-23,,,,,,,,,,,,,
2017-12-24,,,,,,,,,,,,,
2017-12-25,,,,,,,,,,,,,
2017-12-26,,,,,,,,,,,,,
2017-12-27,,,0.02,0.03142857142857143,0.041,,0.587,2.9490000000000003,0.013333333333333334,,,,
2017-12-28,,,0.0225,0.0235,0.035833333333333335,,0.6054166666666666,3.235416666666667,0.015000000000000001,,,,
2017-12-29,,,0.030714285714285715,0.023809523809523808,0.042916666666666665,,0.6425,3.357083333333333,0.02,,,,
2017-12-30,,,0.0175,0.024999999999999998,0.031538461538461536,,0.6953846153846153,3.563076923076923,0.02,,,,
2017-12-31,,,,0.03,,,,,,,,,
2018-01-01,,,,0.03,,,,,,,,,
2018-01-02,,,,0.03,,,,,,,,,
2018-01-03,,,,0.029999999999999995,,,,,,,,,
2018-01-04,,,,,,,,,,,,,
2018-01-05,,,,,,,,,,,,,
2018-01-06,,,,,,,,,,,,,
2018-01-07,,,,,,,,,,,,,
2018-01-08,,,,,,,,,,,,,
2018-01-09,,,,,,,,,,,,,
2018-01-10,,,0.03142857142857143,0.04125,0.07375,,0.92625,3.92625,0.01,,,,
2018-01-11,,,0.02142857142857143,0.023333333333333334,0.04,,0.8633333333333333,4.145833333333333,,,,,
2018-01-12,,,,,,,,,,,,,
2018-01-13,,,,,,,,,,,,,
2018-01-14,,,,,,,,,,,,,
2018-01-15,,,,,,,,,,,,,
2018-01-16,,,,,,,,,,,,,
2018-01-17,,,,,,,,,,,,,
2018-01-18,,,,,,,,,,,,,
2018-01-19,,,,,,,,,,,,,
2018-01-20,,,,,,,,,,,,,
2018-01-21,,,,,,,,,,,,,
2018-01-22,,,,,,,,,,,,,
2018-01-23,,,,,,,,,,,,,
2018-01-24,,,,,,,,,,,,,
2018-01-25,,,,,,,,,,,,,
2018-01-26,,,,,,,,,,,,,
2018-01-27,,,,,,,,,,,,,
2018-01-28,,,,,,,,,,,,,
2018-01-29,,,,,,,,,,,,,
2018-01-30,,,,,,,,,,,,,
2018-01-31,,,,,,,,,,,,,
2018-02-01,,,,,,,,,,,,,
2018-02-02,134.48210526315788,278.97526315789474,25.882631578947368,32.63894736842105,58.52736842105263,8.928947368421053,12.732631578947368,4.747894736842106,18.259473684210526,,0.8031578947368421,92.19333333333333,40.05705882352942
2018-02-03,105.18374999999999,213.7095833333333,21.277916666666666,28.625833333333333,49.904583333333335,8.83375,11.628749999999998,4.705416666666667,18.886666666666667,,1.1325,74.98230769230769,37.66904761904762
2018-02-04,115.75833333333333,227.11083333333332,16.285416666666666,32.01583333333333,48.302083333333336,9.18,11.4625,4.6825,18.692916666666665,,0.7629166666666666,78.69888888888889,38.444
2018-02-05,127.85428571428572,256.4607142857143,19.667142857142856,33.68214285714286,53.347142857142856,9.495714285714286,10.621428571428572,4.627142857142857,12.665000000000001,,0.6849999999999999,60.51916666666667,41.65
2018-02-06,138.73625,269.30958333333336,18.19125,30.344166666666666,48.528333333333336,10.198333333333332,10.917083333333332,4.7175,15.469583333333333,,1.2416666666666667,83.17722222222223,41.710476190476186
2018-02-07,122.18541666666665,224.62875,18.632083333333334,28.51,47.11291666666667,10.631666666666666,10.449583333333333,4.6775,10.958333333333334,,0.6091666666666666,86.83562500000001,43.161249999999995
2018-02-08,143.05875,268.8808333333333,21.1975,30.258333333333336,51.437916666666666,10.307916666666667,11.61125,4.5112499999999995,15.098333333333334,,0.8070833333333334,90.5164705882353,43.09619047619047
2018-02-09,105.05958333333332,201.33416666666668,14.77625,27.503333333333334,42.25833333333333,9.85125,10.720416666666667,4.457916666666667,17.61625,,0.9404166666666667,81.266875,43.23227272727273
2018-02-10,76.84208333333333,150.92499999999998,11.323749999999999,23.31958333333333,34.63166666666667,9.552083333333334,8.215416666666666,4.1345833333333335,13.184166666666668,,1.8283333333333331,74.46041666666666,43.92416666666667
2018-02-11,73.46166666666666,137.93291666666667,8.175833333333333,24.456249999999997,32.59875,9.132083333333332,9.6075,4.0874999999999995,13.746249999999998,,1.1645833333333333,67.9604761904762,43.51333333333333
2018-02-12,63.834583333333335,107.25166666666667,9.487499999999999,18.919583333333332,28.406666666666666,9.59125,8.044583333333334,4.010416666666667,12.314166666666667,,1.7283333333333335,68.4304347826087,42.604166666666664
2018-02-13,37.11958333333333,82.03708333333334,7.520833333333333,16.21125,23.73125,8.950416666666667,7.232500000000001,3.8833333333333333,13.477916666666665,,1.8358333333333334,87.58458333333334,41.19916666666666
2018-02-14,35.64666666666667,66.59041666666667,7.765833333333333,19.86375,27.629583333333333,8.373333333333333,9.2225,3.5829166666666663,13.766666666666666,,0.9354166666666667,65.183,42.01583333333333
2018-02-15,74.54375,137.12416666666667,12.451666666666668,22.62875,35.06791666666667,8.862499999999999,8.30875,3.6179166666666664,13.804166666666667,,1.1725,87.71444444444444,39.02434782608696
2018-02-16,79.87863636363636,168.3868181818182,13.397727272727273,26.436818181818182,39.79954545454546,8.669545454545455,8.671818181818182,3.6536363636363633,14.362727272727273,0.0,0.9946153846153846,89.83461538461538,33.269999999999996
2018-02-17,82.28291666666667,187.23749999999998,22.033749999999998,23.86375,45.86958333333333,9.18375,7.535416666666666,3.6916666666666664,9.727500000000001,0.0,,,
2018-02-18,110.02125000000001,277.15625,17.61583333333333,28.74875,46.355,8.610416666666667,13.625,3.8233333333333337,13.25,0.0,,,
2018-02-19,135.18916666666667,298.59375,19.734583333333333,27.11708333333333,46.85333333333333,9.512916666666667,12.037083333333333,3.9645833333333336,16.20875,0.0,,,
2018-02-20,107.71375,226.25375,18.66208333333333,27.503333333333334,46.14083333333334,10.435416666666667,9.95875,3.935833333333333,12.012083333333331,0.09499999999999999,,,
2018-02-21,82.50695652173913,186.13565217391303,19.73782608695652,22.828260869565216,42.56608695652174,10.95608695652174,11.203913043478261,3.8508695652173914,10.931739130434783,0.010434782608695651,,,
2018-02-22,88.67,210.5275,17.340833333333332,30.43958333333333,47.77583333333333,10.415416666666667,20.36916666666667,3.8608333333333333,15.888333333333334,0.0,,,
2018-02-23,134.64217391304348,284.814347826087,22.71695652173913,31.665217391304346,54.358695652173914,11.311739130434784,19.668695652173913,4.079565217391305,15.896521739130435,71.8108695652174,0.53,172.92375,25.30375
2018-02-24,109.50666666666666,242.02541666666664,24.20958333333333,28.716666666666665,52.913333333333334,11.918333333333335,18.565833333333334,4.08,18.127083333333335,9.26,0.6666666666666666,144.15625,24.949583333333333
2018-02-25,109.8575,230.08333333333334,23.0275,26.503333333333334,49.52041666666667,12.143749999999999,15.935416666666667,4.019166666666666,15.429583333333333,0.55875,0.49333333333333335,158.175,25.947916666666668
2018-02-26,80.43291666666666,168.46458333333334,20.368333333333332,22.900000000000002,43.24333333333333,11.5525,15.0775,3.76,10.774583333333334,1.8620833333333333,0.6245833333333334,145.60041666666666,25.39708333333333
2018-02-27,60.32749999999999,136.36875,21.523333333333337,23.437083333333334,44.93083333333333,12.827916666666667,15.0475,3.8662500000000004,11.327083333333334,1.2945833333333334,0.58875,126.02749999999999,24.703333333333333
2018-02-28,83.70083333333334,189.40416666666667,17.446666666666665,22.745833333333334,40.165,12.425416666666665,15.301666666666668,3.8779166666666662,10.514583333333333,0.0,0.6008333333333333,122.25958333333334,24.71375
2018-03-01,96.77875,210.33166666666668,21.390416666666667,24.114583333333332,45.48,13.282916666666667,15.438749999999999,4.0575,10.39375,0.0,0.7845833333333334,109.68333333333334,25.451666666666668
2018-03-02,106.60833333333333,197.61874999999998,12.136666666666665,22.06458333333333,34.169583333333335,13.2525,18.019583333333333,4.278333333333333,18.81083333333333,0.0,0.7770833333333332,137.13291666666666,25.977083333333336
2018-03-03,142.69958333333332,281.5758333333333,15.17,24.38875,39.5375,12.639166666666668,17.16625,4.457083333333333,15.439166666666667,0.11499999999999999,0.5458333333333333,161.07500000000002,27.076666666666668
2018-03-04,141.05416666666667,287.7629166666666,17.01,27.922916666666666,44.90166666666667,11.592500000000001,18.037916666666668,4.339166666666666,18.230416666666667,0.0,0.5920833333333333,141.98375000000001,26.37
2018-03-05,100.52083333333333,214.94916666666666,14.150416666666667,22.93958333333333,37.06458333333333,11.049999999999999,16.170416666666664,4.164583333333334,12.268749999999999,0.24916666666666668,0.9845833333333333,111.53583333333334,25.150833333333335
2018-03-06,106.86791666666666,193.15083333333334,14.47375,29.314166666666665,43.78458333333333,11.014583333333334,16.4475,3.98625,13.181666666666667,0.0,0.7145833333333332,122.63,25.35666666666667
2018-03-07,102.46375,195.2175,12.376249999999999,27.090416666666666,39.442083333333336,10.50125,16.1825,4.02375,15.682083333333333,0.0,0.5808333333333333,134.855,25.541666666666668
2018-03-08,70.92208333333333,133.29666666666665,8.926666666666668,23.170416666666668,32.077083333333334,9.633333333333333,15.0575,3.9379166666666667,14.992916666666666,0.0,0.7720833333333333,107.10083333333334,25.599999999999998
2018-03-09,110.80083333333333,215.31916666666666,16.4775,27.954166666666666,44.446666666666665,9.680833333333334,15.826666666666666,3.9479166666666665,15.464166666666666,0.0,0.7870833333333334,145.50625,25.970416666666665
2018-03-10,107.32916666666667,213.735,16.701249999999998,29.965416666666666,46.64000000000001,9.843333333333334,16.63,4.254166666666666,17.522083333333335,0.0,0.7599999999999999,121.39125,26.010833333333334
2018-03-11,192.28166666666667,321.3329166666667,18.84958333333333,31.24875,50.06458333333333,10.561666666666666,17.745,4.529166666666667,16.923750000000002,0.0,0.6691666666666668,138.33791666666667,25.550416666666667
2018-03-12,174.67041666666668,332.1125,21.46166666666667,34.93083333333333,56.37916666666666,10.605,17.765833333333333,4.45125,18.365,0.0,0.8004166666666667,168.28958333333333,27.291666666666668
2018-03-13,144.92999999999998,258.32958333333335,17.669166666666666,33.98625,51.624583333333334,9.77875,17.150833333333335,4.352083333333334,17.637083333333333,0.0,0.7129166666666666,135.09875,27.38291666666667
2018-03-14,163.93791666666667,291.1770833333333,15.574166666666665,34.767916666666665,50.342083333333335,9.699166666666667,18.62625,4.4425,22.262083333333333,0.0,0.5758333333333333,161.03666666666666,27.434583333333332
2018-03-15,160.60875000000001,284.83958333333334,17.542916666666667,36.422916666666666,53.91833333333333,10.532083333333334,18.109583333333333,4.57875,15.317083333333334,0.05333333333333334,0.50625,157.95541666666665,27.097916666666666
2018-03-16,69.33541666666666,95.51875,17.717916666666667,27.188333333333333,44.87083333333334,12.162083333333333,16.04,4.039583333333334,7.788333333333333,0.0,0.8616666666666667,179.56791666666666,22.339166666666667
2018-03-17,88.24125,167.68208333333334,23.785416666666666,20.464583333333334,44.23499999999999,11.949583333333335,15.740833333333333,3.94125,14.155833333333334,0.0,1.0645833333333334,183.37333333333333,24.62625
2018-03-18,95.85166666666667,198.73208333333332,20.736666666666668,22.265416666666667,42.98166666666666,11.010833333333332,14.969999999999999,4.012083333333333,13.325416666666667,0.0,0.9966666666666666,132.59958333333333,26.429166666666664
2018-03-19,84.90166666666667,187.01708333333332,9.502916666666666,25.792083333333334,35.27458333333333,9.440416666666666,14.552916666666667,3.9125,16.393333333333334,0.0,0.7975,139.24125,26.754166666666666
2018-03-20,128.73458333333335,286.34458333333333,13.789583333333333,31.981666666666666,45.74166666666667,9.30625,15.981666666666667,4.089583333333334,17.002916666666668,0.0,0.8845833333333334,146.27333333333334,26.885
2018-03-21,136.93291666666667,251.48375,18.172916666666666,34.99,53.12875,10.407916666666667,17.042916666666667,4.4245833333333335,9.654166666666667,0.0,0.5791666666666667,109.01333333333334,26.78
2018-03-22,83.67999999999999,151.85625000000002,11.062916666666666,27.85875,38.89333333333333,10.2025,15.497916666666667,3.9808333333333334,15.607083333333334,0.0,0.6641666666666667,148.16833333333332,28.678749999999997
2018-03-23,110.42916666666667,216.36749999999998,21.5425,30.11708333333333,51.64083333333334,10.03125,15.16125,4.185416666666667,14.804583333333333,0.0,0.82125,151.1475,28.47375
2018-03-24,103.86833333333334,204.00041666666667,19.757916666666667,29.879166666666666,49.58083333333334,9.616249999999999,14.81125,4.168333333333333,14.7125,0.0,0.7025,113.66166666666668,28.43625
2018-03-25,116.19208333333334,243.69500000000002,13.67375,29.222916666666666,42.8475,9.744166666666667,14.793333333333335,4.1475,16.723333333333333,0.0,1.01125,151.01375,28.148750000000003
2018-03-26,103.77291666666667,247.9454166666667,13.65125,32.443333333333335,46.06333333333333,9.120416666666666,16.106666666666666,4.214583333333334,20.34125,0.0,0.7791666666666667,151.3725,28.413749999999997
2018-03-27,137.74958333333333,288.40958333333333,13.188749999999999,33.1625,46.29458333333333,10.6825,16.785833333333333,4.613333333333333,22.28,0.0,0.7341666666666667,134.50416666666666,27.98625
2018-03-28,188.8925,278.8745833333333,13.780416666666667,35.01833333333334,48.785833333333336,11.795833333333334,19.400000000000002,4.492916666666667,23.533749999999998,0.0,0.6133333333333334,144.81125,28.393333333333334
2018-03-29,175.12416666666664,338.52125,19.442083333333333,35.60875,54.999583333333334,11.208333333333334,21.19125,4.626666666666667,16.738333333333333,0.0,0.5954166666666667,128.95833333333334,28.522916666666664
2018-03-30,144.48458333333335,299.4158333333333,17.304166666666667,36.682916666666664,53.96,11.269583333333335,20.61125,4.7612499999999995,16.365416666666665,0.19791666666666666,0.9695833333333334,148.87125,29.93041666666667
2018-03-31,108.76666666666667,247.24666666666667,19.254166666666666,26.980416666666667,46.25,11.265416666666667,17.982083333333332,4.4025,18.01625,0.0,0.7654166666666667,171.94916666666666,30.14125
2018-04-01,57.79833333333334,147.25666666666666,10.505833333333333,17.640833333333333,28.114166666666666,10.194583333333334,16.46125,4.04125,17.21125,0.0,1.2004166666666667,130.36708333333334,27.263333333333332
2018-04-02,61.51166666666666,101.21791666666667,7.582916666666667,20.446250000000003,28.030833333333334,10.034583333333332,15.8175,3.94,16.62666666666667,0.0,0.7016666666666667,154.19708333333332,26.133333333333336
2018-04-03,84.55541666666666,161.65333333333334,10.783333333333333,21.4875,32.25625,10.420416666666666,16.164166666666667,4.020416666666667,18.896666666666665,0.0,0.7695833333333333,187.67041666666668,27.805833333333336
2018-04-04,57.951249999999995,118.86958333333332,10.268749999999999,19.532500000000002,29.766666666666666,10.338333333333333,15.201666666666668,3.967083333333333,13.003750000000002,0.0,0.6904166666666667,159.15625,27.068749999999998
2018-04-05,62.785833333333336,132.62375,12.545833333333334,19.678333333333335,32.20333333333333,10.159166666666666,14.919166666666667,3.8220833333333335,20.95,0.0,0.81625,165.8075,28.515416666666667
2018-04-06,51.73208333333333,116.59249999999999,8.255,17.820833333333333,26.052083333333332,9.130833333333333,14.697083333333333,3.7137499999999997,23.737916666666667,0.0,0.8783333333333334,175.63333333333333,29.67
2018-04-07,48.677083333333336,85.32000000000001,6.927916666666666,16.205416666666668,23.135,8.465416666666668,14.04875,3.5475,20.53375,0.0,0.9316666666666666,148.63,28.559583333333332
2018-04-08,67.70791666666666,109.61375,7.697500000000001,17.377916666666668,25.073333333333334,7.81125,14.525416666666667,3.532083333333333,19.557916666666667,0.0,0.8445833333333334,163.75041666666667,27.53125
2018-04-09,45.968333333333334,96.57666666666667,9.29125,15.087083333333332,24.365416666666665,8.485,13.873750000000001,3.5237499999999997,20.22041666666667,0.0,0.8691666666666666,178.10583333333332,29.072916666666668
2018-04-10,52.85958333333334,107.83833333333332,6.2175,15.603333333333333,21.81958333333333,7.934583333333333,13.322083333333333,3.4566666666666666,20.475,0.0,0.9283333333333333,162.74666666666667,28.542916666666667
2018-04-11,63.91083333333333,139.62583333333333,6.9175,19.339583333333334,26.22375,7.316666666666666,13.426250000000001,3.5170833333333333,21.22,0.0,1.0433333333333332,183.26416666666668,30.10291666666667
